NAME,PCID,AgencyDesc,AGID,Longitude,Latitude
Hamlet,OSM,HAMLET,C,-122.9247145,38.210741
Happy Camp,OCA,HAPPY CAMP,C,-123.3763831,41.79295083
Harbor City,OLA,HARBOR CITY,C,-118.2974648,33.78992918
Hawaiian Gardens,OLA,HAWAIIAN GARDENS,C,-118.0720619,33.83141316
Hayward,OSF,HAYWARD,C,-122.1102518,37.63293304
Healdsburg,OSM,HEALDSBURG,C,-122.8632856,38.62063602
Hemet,OCA,HEMET,C,-116.9890711,33.73860611
Hermosa Beach,OLA,HERMOSA BEACH,C,-118.3954148,33.86453217
Hollister,OCM,HOLLISTER,C,-121.402057,36.85667406
Hood,OCA,HOOD,C,-121.5193039,38.36830894
Hoquiam,GRH,HOQUIAM,W,-123.885612,46.98063658
Huntington Beach,OLA,HUNTINGTON BEACH,C,-118.0125409,33.66470017
Imperial,OCA,IMPERIAL,C,-115.5699504,32.83748614
Imperial Beach,OSD,IMPERIAL BEACH,C,-117.1178241,32.57655525
Inglewood,OLA,INGLEWOOD,C,-118.3439228,33.95979216
Inverness,OSM,INVERNESS,C,-122.8372957,38.08341706
Irvine,OLA,IRVINE,C,-117.7914109,33.67142316
Isleton,OCA,ISLETON,C,-121.6086659,38.16258896
Jenner,OSM,JENNER,C,-123.1147076,38.44908105
Kalaloch,OWC,KALALOCH,W,-124.3709258,47.60518661
Kalama,OCR,KALAMA,W,-122.8443454,46.00765452
Kelso,OCR,KELSO,W,-122.8900374,46.12448452
Kentfield,OSM,KENTFIELD,C,-122.5496467,37.95075905
Kerman,OCA,KERMAN,C,-120.0601813,36.72260898
Kernville,OCA,KERNVILLE,C,-118.4326196,35.76588297
Kingsburg,OCA,KINGSBURG,C,-119.5562854,36.51790797
Klamath,ODN,KLAMATH,C,-124.036919,41.52755391
Knights Landing,OCA,KNIGHTS LANDING,C,-121.7178488,38.79976292
La Canada Flintridge,OLA,LA CANADA,C,-118.2001038,34.20445112
La Jolla,OSD,LA JOLLA,C,-117.2745971,32.84751623
La Mesa,OSD,LA MESA,C,-117.0247931,32.76969723
La Push,LAP,LAPUSH,W,-124.6354797,47.90780362
Lafayette,OSF,LAFAYETTE,C,-122.1187528,37.89202002
Lake Elsinore,OLA,ELSINORE,C,-117.321526,33.68975413
Lake Isabella,OCA,LAKE ISABELLA,C,-118.4844246,35.61953399
Lakeport,OCA,LAKEPORT,C,-122.9238046,39.04352499
Lancaster,OLA,LANCASTER,C,-118.1352168,34.68936007
Lathrop,OCA,LATHROP,C,-121.311458,37.80507597
Lee Vining,OCA,LEE VINING,C,-119.1201883,37.9575388
